trial_id,scenario,config,package_name,is_malicious,attack_type,signature_valid,identity_verified,in_transparency_log,timestamp_valid,verification_result,verification_latency_ms,failure_reason
8,malicious_mirror,defense,,True,mirror_substitution,True,False,False,False,FAILED,0.12,identity_not_authorized: attacker@malicious.com cannot publish mirror
9,malicious_mirror,defense,,True,mirror_substitution,True,False,False,False,FAILED,0.08,identity_not_authorized: attacker@malicious.com cannot publish mirror
10,malicious_mirror,defense,,True,mirror_substitution,True,False,False,False,FAILED,0.05,identity_not_authorized: attacker@malicious.com cannot publish mirror
1,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.28,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
2,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.07,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
3,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.05,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
4,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.09,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
5,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.11,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
6,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.12,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
7,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.27,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
8,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.08,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
9,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.06,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
10,typosquatting,defense,,True,typosquatting_with_stolen_key,True,False,False,False,FAILED,0.06,identity_not_authorized: requests-maintainer@python.org cannot publish reqeusts
1,legitimate,defense,,False,none,True,True,True,True,PASSED,3.79,none
2,legitimate,defense,,False,none,True,True,True,True,PASSED,0.15,none
3,legitimate,defense,,False,none,True,True,True,True,PASSED,0.15,none
4,legitimate,defense,,False,none,True,True,True,True,PASSED,0.66,none
5,legitimate,defense,,False,none,True,True,True,True,PASSED,0.15,none
